category_name,source_provider,date,time,text_head,detailed_text,amount
health_and_fitness,Anytime Fitness,2024-10-11,41-13-11,Workout with the Best!,Nike Training Club - Personalized workout plans!,1627
travel,MakeMyTrip,2024-07-25,41-13-11,Fly at Unbeatable Prices!,Expedia - Book your flight now and save ₹4891!,4891
savings_and_investments,Betterment,2024-08-15,41-13-11,Smart Investing Starts Here!,Vanguard offers higher returns on your savings!,1855
chill_trill,Disneyland,2024-06-19,41-13-11,Exciting Adventures Await!,Escape Room challenge - Enter for just ₹878!,878
music_and_entertainment,Netflix,2024-08-30,41-13-11,Your Entertainment Hub!,Spotify Premium now just ₹1978/month!,1978
travel,Expedia,2024-05-07,41-13-11,Your Next Adventure Awaits!,MakeMyTrip offers 30% off on hotels this weekend!,987
beauty_and_apparel,H&M,2024-11-06,41-13-11,Beauty Deals Inside!,Sephora - Get ₹4419 off on skincare today!,4419
education,edX,2025-01-11,41-13-11,Exclusive Learning Discounts!,Udemy - Enroll for ₹3117 only on top courses!,3117
music_and_entertainment,Apple Music,2024-03-04,41-13-11,Music & Movies Galore!,Spotify Premium now just ₹3844/month!,3844
travel,Airbnb,2025-01-01,41-13-11,Exclusive Travel Offers!,MakeMyTrip offers 30% off on hotels this weekend!,3032
home_and_living,Wayfair,2024-05-02,41-13-11,New Arrivals for Your Living Space!,Target has new arrivals! Get the best home essentials!,2534
music_and_entertainment,Apple Music,2024-09-22,41-13-11,Your Entertainment Hub!,Disney+ streaming pass - Get ₹1153 off now!,1153
music_and_entertainment,Spotify,2024-04-29,41-13-11,"Stream More, Pay Less!",Spotify Premium now just ₹3745/month!,3745
savings_and_investments,Fidelity,2024-12-14,41-13-11,Smart Investing Starts Here!,Vanguard offers higher returns on your savings!,3340
misc,Best Buy,2024-06-21,41-13-11,Hidden Gems Just for You!,Etsy has unique handmade crafts for ₹1974!,1974
food_spending,Domino's,2024-05-30,41-13-11,Tasty Treats Await!,McDonald's special deal - Get ₹4904 off on combos!,4904
food_spending,Swiggy,2024-05-08,41-13-11,Delicious Deals Just for You!,Zomato is offering 20% off on your next order!,1551
chill_trill,Universal Studios,2024-05-01,41-13-11,Exciting Adventures Await!,Six Flags is offering unlimited rides at ₹1026!,1026
education,Coursera,2024-04-10,41-13-11,Boost Your Skills!,Udemy - Enroll for ₹3093 only on top courses!,3093
beauty_and_apparel,H&M,2024-03-04,41-13-11,Fashion Trends You Need!,Sephora - Get ₹663 off on skincare today!,663
music_and_entertainment,Amazon Prime,2024-07-20,41-13-11,"Stream More, Pay Less!",Disney+ streaming pass - Get ₹324 off now!,324
food_spending,Uber Eats,2024-12-02,41-13-11,Tasty Treats Await!,Zomato is offering 20% off on your next order!,3104
education,Khan Academy,2024-05-19,41-13-11,Exclusive Learning Discounts!,Udemy - Enroll for ₹3876 only on top courses!,3876
misc,Best Buy,2024-11-21,41-13-11,Hidden Gems Just for You!,Etsy has unique handmade crafts for ₹4961!,4961
home_and_living,Amazon,2024-03-12,41-13-11,New Arrivals for Your Living Space!,Target has new arrivals! Get the best home essentials!,3767
travel,Airbnb,2024-07-17,41-13-11,Fly at Unbeatable Prices!,MakeMyTrip offers 30% off on hotels this weekend!,2160
education,edX,2024-12-20,41-13-11,Enroll Now for Less!,Udemy - Enroll for ₹4112 only on top courses!,4112
education,Khan Academy,2024-07-08,41-13-11,Enroll Now for Less!,Udemy - Enroll for ₹420 only on top courses!,420
home_and_living,Wayfair,2024-08-28,41-13-11,Upgrade Your Home!,Wayfair flash sale - Upgrade your home decor!,2116
music_and_entertainment,Netflix,2024-02-06,41-13-11,Music & Movies Galore!,Netflix binge-watch special at ₹4504 per month!,4504
beauty_and_apparel,Nike,2024-06-12,41-13-11,Beauty Deals Inside!,Sephora - Get ₹4550 off on skincare today!,4550
home_and_living,Target,2024-06-21,41-13-11,New Arrivals for Your Living Space!,Wayfair flash sale - Upgrade your home decor!,434
savings_and_investments,Wealthfront,2024-10-09,41-13-11,Grow Your Wealth!,Invest ₹3750 today and grow your wealth!,3750
home_and_living,Walmart,2024-11-25,41-13-11,Limited Time Home Deals!,Target has new arrivals! Get the best home essentials!,4046
chill_trill,VR World,2024-04-20,41-13-11,Experience Thrill!,Disneyland - Exclusive family passes now available!,2816
beauty_and_apparel,Sephora,2024-12-09,41-13-11,Fashion Trends You Need!,Zara exclusive sale - Fashion at unbeatable prices!,2386
music_and_entertainment,Apple Music,2024-04-23,41-13-11,Your Entertainment Hub!,Spotify Premium now just ₹4215/month!,4215
savings_and_investments,Betterment,2024-07-26,41-13-11,Maximize Your Returns!,Vanguard offers higher returns on your savings!,2443
misc,eBay,2024-05-11,41-13-11,Unbelievable Finds!,Etsy has unique handmade crafts for ₹2357!,2357
savings_and_investments,Fidelity,2024-08-03,41-13-11,Maximize Your Returns!,Robinhood - Start investing with zero commission!,3934
travel,Airbnb,2024-02-06,41-13-11,Your Next Adventure Awaits!,Expedia - Book your flight now and save ₹2350!,2350
misc,Etsy,2024-03-11,41-13-11,Shop the Best Deals!,Etsy has unique handmade crafts for ₹4269!,4269
food_spending,Domino's,2024-10-08,41-13-11,Tasty Treats Await!,Zomato is offering 20% off on your next order!,4231
music_and_entertainment,Disney+,2024-09-01,41-13-11,"Stream More, Pay Less!",Spotify Premium now just ₹239/month!,239
health_and_fitness,Anytime Fitness,2024-03-24,41-13-11,"Fitness Goals, Made Easy!",Nike Training Club - Personalized workout plans!,893
travel,Skyscanner,2024-05-12,41-13-11,Your Next Adventure Awaits!,Airbnb special stays at just ₹2956 per night!,2956
home_and_living,Amazon,2024-10-20,41-13-11,Limited Time Home Deals!,Target has new arrivals! Get the best home essentials!,87
misc,AliExpress,2024-03-27,41-13-11,Shop the Best Deals!,eBay - Exclusive gadgets at just ₹4956!,4956
chill_trill,Escape Room,2024-12-03,41-13-11,Exciting Adventures Await!,Escape Room challenge - Enter for just ₹1832!,1832
beauty_and_apparel,H&M,2024-08-30,41-13-11,Fashion Trends You Need!,Zara exclusive sale - Fashion at unbeatable prices!,4763
misc,AliExpress,2024-10-07,41-13-11,Hidden Gems Just for You!,Best Buy deals - Save big on electronics!,3747
home_and_living,Amazon,2024-09-15,41-13-11,Limited Time Home Deals!,Amazon - Flat ₹779 off on furniture this week!,779
music_and_entertainment,Netflix,2024-07-07,41-13-11,Music & Movies Galore!,Disney+ streaming pass - Get ₹3663 off now!,3663
savings_and_investments,Wealthfront,2024-03-23,41-13-11,Smart Investing Starts Here!,Invest ₹1616 today and grow your wealth!,1616
education,Coursera,2024-07-15,41-13-11,Boost Your Skills!,Skillshare - Learn new skills with exciting discounts!,2561
home_and_living,IKEA,2024-10-15,41-13-11,Limited Time Home Deals!,Amazon - Flat ₹441 off on furniture this week!,441
savings_and_investments,Betterment,2024-10-04,41-13-11,Maximize Your Returns!,Robinhood - Start investing with zero commission!,656
home_and_living,Wayfair,2024-07-28,41-13-11,Limited Time Home Deals!,Wayfair flash sale - Upgrade your home decor!,2190
music_and_entertainment,Netflix,2024-02-01,41-13-11,Music & Movies Galore!,Disney+ streaming pass - Get ₹3245 off now!,3245
health_and_fitness,Gold's Gym,2024-03-27,41-13-11,Workout with the Best!,Peloton - Your fitness journey starts at ₹556!,556
education,edX,2024-10-27,41-13-11,Boost Your Skills!,Udemy - Enroll for ₹2481 only on top courses!,2481
food_spending,Domino's,2024-05-16,41-13-11,Order Now & Get Discounts!,McDonald's special deal - Get ₹3607 off on combos!,3607
music_and_entertainment,Disney+,2024-08-06,41-13-11,"Stream More, Pay Less!",Disney+ streaming pass - Get ₹758 off now!,758
savings_and_investments,Wealthfront,2024-10-06,41-13-11,Maximize Your Returns!,Invest ₹3616 today and grow your wealth!,3616
chill_trill,Universal Studios,2024-07-03,41-13-11,Experience Thrill!,Escape Room challenge - Enter for just ₹4532!,4532
home_and_living,Wayfair,2024-09-02,41-13-11,New Arrivals for Your Living Space!,Wayfair flash sale - Upgrade your home decor!,2529
travel,MakeMyTrip,2024-04-26,41-13-11,Exclusive Travel Offers!,Airbnb special stays at just ₹2847 per night!,2847
travel,Booking.com,2024-05-20,41-13-11,Your Next Adventure Awaits!,Expedia - Book your flight now and save ₹2317!,2317
misc,Best Buy,2024-07-23,41-13-11,Shop the Best Deals!,eBay - Exclusive gadgets at just ₹488!,488
education,Skillshare,2024-12-25,41-13-11,Enroll Now for Less!,Skillshare - Learn new skills with exciting discounts!,3027
health_and_fitness,Peloton,2024-04-08,41-13-11,"Stay Fit, Stay Healthy!",MyFitnessPal - Track your health & fitness effortlessly!,4465
travel,Skyscanner,2024-06-18,41-13-11,Exclusive Travel Offers!,MakeMyTrip offers 30% off on hotels this weekend!,2436
education,Coursera,2024-09-26,41-13-11,Enroll Now for Less!,Skillshare - Learn new skills with exciting discounts!,4088
education,Skillshare,2024-09-18,41-13-11,Exclusive Learning Discounts!,Skillshare - Learn new skills with exciting discounts!,3412
education,Udemy,2024-08-30,41-13-11,Enroll Now for Less!,Coursera premium access at ₹4160 for a limited time!,4160
food_spending,Zomato,2024-09-25,41-13-11,Tasty Treats Await!,Zomato is offering 20% off on your next order!,4320
misc,Newegg,2024-10-26,41-13-11,Unbelievable Finds!,eBay - Exclusive gadgets at just ₹2529!,2529
travel,Expedia,2024-03-19,41-13-11,Exclusive Travel Offers!,Expedia - Book your flight now and save ₹1865!,1865
beauty_and_apparel,Sephora,2024-03-08,41-13-11,Style Upgrade Awaits!,H&M clearance sale - Shop trendy outfits now!,3941
home_and_living,Walmart,2024-03-18,41-13-11,Limited Time Home Deals!,Wayfair flash sale - Upgrade your home decor!,2158
chill_trill,VR World,2024-09-28,41-13-11,Experience Thrill!,Disneyland - Exclusive family passes now available!,1313
health_and_fitness,Nike Training Club,2024-08-18,41-13-11,"Fitness Goals, Made Easy!",Peloton - Your fitness journey starts at ₹4720!,4720
savings_and_investments,Robinhood,2024-10-08,41-13-11,Maximize Your Returns!,Vanguard offers higher returns on your savings!,206
misc,eBay,2024-09-02,41-13-11,Shop the Best Deals!,Best Buy deals - Save big on electronics!,3324
savings_and_investments,Robinhood,2024-12-14,41-13-11,Grow Your Wealth!,Invest ₹3577 today and grow your wealth!,3577
education,Coursera,2024-03-23,41-13-11,Exclusive Learning Discounts!,Skillshare - Learn new skills with exciting discounts!,2031
beauty_and_apparel,Sephora,2024-03-14,41-13-11,Beauty Deals Inside!,H&M clearance sale - Shop trendy outfits now!,733
home_and_living,IKEA,2024-09-01,41-13-11,New Arrivals for Your Living Space!,Amazon - Flat ₹4432 off on furniture this week!,4432
travel,Skyscanner,2024-03-06,41-13-11,Your Next Adventure Awaits!,Airbnb special stays at just ₹3620 per night!,3620
misc,Newegg,2024-10-29,41-13-11,Unbelievable Finds!,Best Buy deals - Save big on electronics!,3818
health_and_fitness,Anytime Fitness,2024-03-29,41-13-11,Workout with the Best!,Peloton - Your fitness journey starts at ₹1584!,1584
food_spending,Domino's,2024-11-28,41-13-11,Delicious Deals Just for You!,McDonald's special deal - Get ₹2500 off on combos!,2500
chill_trill,Six Flags,2024-02-13,41-13-11,Experience Thrill!,Escape Room challenge - Enter for just ₹3172!,3172
misc,eBay,2024-10-29,41-13-11,Shop the Best Deals!,Best Buy deals - Save big on electronics!,3859
music_and_entertainment,Disney+,2024-08-19,41-13-11,Your Entertainment Hub!,Netflix binge-watch special at ₹1260 per month!,1260
music_and_entertainment,Disney+,2024-04-22,41-13-11,Music & Movies Galore!,Spotify Premium now just ₹1709/month!,1709
misc,Newegg,2024-09-26,41-13-11,Hidden Gems Just for You!,Best Buy deals - Save big on electronics!,4017
home_and_living,Target,2024-05-28,41-13-11,Upgrade Your Home!,Wayfair flash sale - Upgrade your home decor!,1786
misc,AliExpress,2024-02-29,41-13-11,Shop the Best Deals!,eBay - Exclusive gadgets at just ₹412!,412
chill_trill,Disneyland,2024-11-19,41-13-11,Exciting Adventures Await!,Escape Room challenge - Enter for just ₹253!,253
chill_trill,Escape Room,2024-08-11,41-13-11,Unleash the Fun!,Escape Room challenge - Enter for just ₹959!,959
beauty_and_apparel,Adidas,2024-07-02,41-13-11,Fashion Trends You Need!,Zara exclusive sale - Fashion at unbeatable prices!,3154
misc,Newegg,2024-06-20,41-13-11,Unbelievable Finds!,Etsy has unique handmade crafts for ₹1436!,1436
beauty_and_apparel,Nike,2024-02-03,41-13-11,Beauty Deals Inside!,Sephora - Get ₹2893 off on skincare today!,2893
food_spending,Domino's,2024-04-14,41-13-11,Tasty Treats Await!,McDonald's special deal - Get ₹3197 off on combos!,3197
beauty_and_apparel,Adidas,2024-07-14,41-13-11,Style Upgrade Awaits!,H&M clearance sale - Shop trendy outfits now!,1462
education,Coursera,2024-10-09,41-13-11,Enroll Now for Less!,Udemy - Enroll for ₹3670 only on top courses!,3670
travel,Skyscanner,2024-02-25,41-13-11,Your Next Adventure Awaits!,Airbnb special stays at just ₹3185 per night!,3185
travel,Skyscanner,2024-12-18,41-13-11,Exclusive Travel Offers!,MakeMyTrip offers 30% off on hotels this weekend!,914
home_and_living,Walmart,2024-07-21,41-13-11,Limited Time Home Deals!,Wayfair flash sale - Upgrade your home decor!,3649
food_spending,Swiggy,2024-12-31,41-13-11,Order Now & Get Discounts!,McDonald's special deal - Get ₹2934 off on combos!,2934
travel,Airbnb,2024-02-15,41-13-11,Your Next Adventure Awaits!,MakeMyTrip offers 30% off on hotels this weekend!,4240
chill_trill,Escape Room,2024-04-15,41-13-11,Experience Thrill!,Escape Room challenge - Enter for just ₹872!,872
food_spending,Domino's,2024-03-13,41-13-11,Delicious Deals Just for You!,McDonald's special deal - Get ₹3067 off on combos!,3067
food_spending,Swiggy,2024-11-16,41-13-11,Order Now & Get Discounts!,McDonald's special deal - Get ₹2191 off on combos!,2191
chill_trill,Escape Room,2024-07-17,41-13-11,Experience Thrill!,Disneyland - Exclusive family passes now available!,2120
travel,Skyscanner,2024-01-27,41-13-11,Your Next Adventure Awaits!,MakeMyTrip offers 30% off on hotels this weekend!,4889
health_and_fitness,Peloton,2024-10-29,41-13-11,"Stay Fit, Stay Healthy!",Peloton - Your fitness journey starts at ₹3565!,3565
misc,Etsy,2024-04-10,41-13-11,Hidden Gems Just for You!,Best Buy deals - Save big on electronics!,4167
music_and_entertainment,Apple Music,2025-01-01,41-13-11,"Stream More, Pay Less!",Netflix binge-watch special at ₹3659 per month!,3659
savings_and_investments,Fidelity,2025-01-14,41-13-11,Smart Investing Starts Here!,Invest ₹2539 today and grow your wealth!,2539
home_and_living,Amazon,2024-11-15,41-13-11,Upgrade Your Home!,Wayfair flash sale - Upgrade your home decor!,192
education,Coursera,2024-04-16,41-13-11,Exclusive Learning Discounts!,Skillshare - Learn new skills with exciting discounts!,4085
misc,eBay,2024-11-27,41-13-11,Hidden Gems Just for You!,Best Buy deals - Save big on electronics!,4621
beauty_and_apparel,Sephora,2024-10-02,41-13-11,Fashion Trends You Need!,Sephora - Get ₹868 off on skincare today!,868
food_spending,Swiggy,2024-02-22,41-13-11,Tasty Treats Await!,McDonald's special deal - Get ₹3489 off on combos!,3489
music_and_entertainment,Spotify,2024-12-20,41-13-11,Your Entertainment Hub!,Netflix binge-watch special at ₹2968 per month!,2968
health_and_fitness,Gold's Gym,2024-11-28,41-13-11,"Fitness Goals, Made Easy!",Peloton - Your fitness journey starts at ₹3533!,3533
travel,Airbnb,2024-03-23,41-13-11,Your Next Adventure Awaits!,Airbnb special stays at just ₹117 per night!,117
education,Khan Academy,2024-10-12,41-13-11,Exclusive Learning Discounts!,Skillshare - Learn new skills with exciting discounts!,155
chill_trill,VR World,2024-03-24,41-13-11,Experience Thrill!,Six Flags is offering unlimited rides at ₹3001!,3001
food_spending,Domino's,2024-11-24,41-13-11,Tasty Treats Await!,McDonald's special deal - Get ₹782 off on combos!,782
beauty_and_apparel,Sephora,2024-10-27,41-13-11,Fashion Trends You Need!,Zara exclusive sale - Fashion at unbeatable prices!,3550
beauty_and_apparel,Adidas,2024-08-05,41-13-11,Beauty Deals Inside!,H&M clearance sale - Shop trendy outfits now!,1019
savings_and_investments,Robinhood,2024-12-15,41-13-11,Grow Your Wealth!,Invest ₹258 today and grow your wealth!,258
home_and_living,Walmart,2024-06-07,41-13-11,New Arrivals for Your Living Space!,Wayfair flash sale - Upgrade your home decor!,3448
education,edX,2024-09-26,41-13-11,Enroll Now for Less!,Udemy - Enroll for ₹881 only on top courses!,881
music_and_entertainment,Apple Music,2024-11-08,41-13-11,"Stream More, Pay Less!",Spotify Premium now just ₹2159/month!,2159
health_and_fitness,Gold's Gym,2024-02-28,41-13-11,"Stay Fit, Stay Healthy!",Peloton - Your fitness journey starts at ₹1942!,1942
beauty_and_apparel,Nike,2024-11-30,41-13-11,Style Upgrade Awaits!,H&M clearance sale - Shop trendy outfits now!,1850
health_and_fitness,Peloton,2024-10-08,41-13-11,Workout with the Best!,Nike Training Club - Personalized workout plans!,458
savings_and_investments,Betterment,2024-10-15,41-13-11,Smart Investing Starts Here!,Vanguard offers higher returns on your savings!,1935
travel,Skyscanner,2024-02-08,41-13-11,Fly at Unbeatable Prices!,Airbnb special stays at just ₹2549 per night!,2549
misc,Best Buy,2024-12-12,41-13-11,Shop the Best Deals!,Etsy has unique handmade crafts for ₹3334!,3334
savings_and_investments,Robinhood,2024-07-02,41-13-11,Maximize Your Returns!,Invest ₹1657 today and grow your wealth!,1657
travel,Airbnb,2024-05-16,41-13-11,Fly at Unbeatable Prices!,Expedia - Book your flight now and save ₹4785!,4785
education,edX,2024-04-08,41-13-11,Boost Your Skills!,Skillshare - Learn new skills with exciting discounts!,4579
music_and_entertainment,Apple Music,2024-12-19,41-13-11,Music & Movies Galore!,Disney+ streaming pass - Get ₹1800 off now!,1800
health_and_fitness,Anytime Fitness,2025-01-11,41-13-11,Workout with the Best!,Nike Training Club - Personalized workout plans!,2531
misc,Best Buy,2024-10-17,41-13-11,Unbelievable Finds!,eBay - Exclusive gadgets at just ₹2547!,2547
travel,Booking.com,2024-08-09,41-13-11,Your Next Adventure Awaits!,Expedia - Book your flight now and save ₹3698!,3698
misc,Etsy,2024-05-08,41-13-11,Shop the Best Deals!,Etsy has unique handmade crafts for ₹931!,931
education,Skillshare,2024-08-24,41-13-11,Exclusive Learning Discounts!,Udemy - Enroll for ₹1328 only on top courses!,1328
chill_trill,Six Flags,2024-01-20,41-13-11,Experience Thrill!,Escape Room challenge - Enter for just ₹4926!,4926
health_and_fitness,Anytime Fitness,2024-10-25,41-13-11,"Stay Fit, Stay Healthy!",Nike Training Club - Personalized workout plans!,2111
education,edX,2024-02-22,41-13-11,Exclusive Learning Discounts!,Skillshare - Learn new skills with exciting discounts!,2838
home_and_living,Amazon,2024-11-06,41-13-11,Upgrade Your Home!,Target has new arrivals! Get the best home essentials!,2841
education,Udemy,2024-09-09,41-13-11,Enroll Now for Less!,Coursera premium access at ₹4559 for a limited time!,4559
food_spending,Swiggy,2024-12-02,41-13-11,Order Now & Get Discounts!,Your Swiggy order for ₹391 has been delivered!,391
home_and_living,Amazon,2024-12-28,41-13-11,Limited Time Home Deals!,Amazon - Flat ₹4380 off on furniture this week!,4380
education,Khan Academy,2024-10-27,41-13-11,Exclusive Learning Discounts!,Skillshare - Learn new skills with exciting discounts!,739
misc,eBay,2024-01-24,41-13-11,Hidden Gems Just for You!,eBay - Exclusive gadgets at just ₹4977!,4977
music_and_entertainment,Netflix,2024-01-28,41-13-11,"Stream More, Pay Less!",Disney+ streaming pass - Get ₹2057 off now!,2057
food_spending,Uber Eats,2024-06-03,41-13-11,Order Now & Get Discounts!,Your Swiggy order for ₹4713 has been delivered!,4713
chill_trill,Six Flags,2024-08-05,41-13-11,Experience Thrill!,Escape Room challenge - Enter for just ₹1100!,1100
home_and_living,Target,2024-05-12,41-13-11,Limited Time Home Deals!,Amazon - Flat ₹2254 off on furniture this week!,2254
beauty_and_apparel,H&M,2024-05-25,41-13-11,Style Upgrade Awaits!,Sephora - Get ₹765 off on skincare today!,765
education,edX,2024-04-22,41-13-11,Boost Your Skills!,Coursera premium access at ₹4733 for a limited time!,4733
