category_name,source_provider,date,time,text_head,detailed_text,amount
health_and_fitness,MyFitnessPal,2024-10-08,41-13-11,"Fitness Goals, Made Easy!",Peloton - Your fitness journey starts at ₹2182!,2182
beauty_and_apparel,Nike,2024-02-12,41-13-11,Fashion Trends You Need!,Sephora - Get ₹1139 off on skincare today!,1139
music_and_entertainment,Apple Music,2024-03-16,41-13-11,Music & Movies Galore!,Spotify Premium now just ₹3296/month!,3296
music_and_entertainment,Spotify,2024-02-15,41-13-11,Music & Movies Galore!,Netflix binge-watch special at ₹229 per month!,229
music_and_entertainment,Spotify,2024-02-16,41-13-11,"Stream More, Pay Less!",Netflix binge-watch special at ₹1184 per month!,1184
savings_and_investments,Robinhood,2024-05-01,41-13-11,Smart Investing Starts Here!,Invest ₹507 today and grow your wealth!,507
food_spending,Swiggy,2024-05-30,41-13-11,Order Now & Get Discounts!,McDonald's special deal - Get ₹800 off on combos!,800
beauty_and_apparel,Nike,2024-12-15,41-13-11,Fashion Trends You Need!,Zara exclusive sale - Fashion at unbeatable prices!,4073
beauty_and_apparel,Zara,2024-03-17,41-13-11,Style Upgrade Awaits!,H&M clearance sale - Shop trendy outfits now!,4008
health_and_fitness,Gold's Gym,2024-10-09,41-13-11,"Stay Fit, Stay Healthy!",MyFitnessPal - Track your health & fitness effortlessly!,1297
beauty_and_apparel,Nike,2024-12-12,41-13-11,Beauty Deals Inside!,Sephora - Get ₹1062 off on skincare today!,1062
chill_trill,Universal Studios,2024-09-30,41-13-11,Exciting Adventures Await!,Disneyland - Exclusive family passes now available!,399
education,Khan Academy,2024-06-24,41-13-11,Boost Your Skills!,Udemy - Enroll for ₹2227 only on top courses!,2227
food_spending,Swiggy,2024-08-09,41-13-11,Delicious Deals Just for You!,McDonald's special deal - Get ₹4579 off on combos!,4579
home_and_living,Amazon,2024-07-29,41-13-11,New Arrivals for Your Living Space!,Amazon - Flat ₹4752 off on furniture this week!,4752
education,Skillshare,2024-03-16,41-13-11,Boost Your Skills!,Udemy - Enroll for ₹2038 only on top courses!,2038
music_and_entertainment,Apple Music,2024-02-25,41-13-11,Music & Movies Galore!,Disney+ streaming pass - Get ₹3668 off now!,3668
chill_trill,Disneyland,2024-11-26,41-13-11,Unleash the Fun!,Six Flags is offering unlimited rides at ₹4226!,4226
savings_and_investments,Vanguard,2024-04-19,41-13-11,Grow Your Wealth!,Vanguard offers higher returns on your savings!,1824
travel,Skyscanner,2024-05-19,41-13-11,Fly at Unbeatable Prices!,MakeMyTrip offers 30% off on hotels this weekend!,1225
music_and_entertainment,Apple Music,2024-12-21,41-13-11,"Stream More, Pay Less!",Spotify Premium now just ₹4444/month!,4444
music_and_entertainment,Amazon Prime,2024-06-08,41-13-11,Music & Movies Galore!,Disney+ streaming pass - Get ₹1812 off now!,1812
chill_trill,Universal Studios,2024-05-16,41-13-11,Exciting Adventures Await!,Escape Room challenge - Enter for just ₹1139!,1139
chill_trill,Universal Studios,2024-12-22,41-13-11,Exciting Adventures Await!,Escape Room challenge - Enter for just ₹3818!,3818
food_spending,Zomato,2024-07-18,41-13-11,Order Now & Get Discounts!,McDonald's special deal - Get ₹1519 off on combos!,1519
misc,Best Buy,2025-01-15,41-13-11,Unbelievable Finds!,Etsy has unique handmade crafts for ₹4603!,4603
education,Coursera,2024-11-17,41-13-11,Boost Your Skills!,Skillshare - Learn new skills with exciting discounts!,4985
travel,MakeMyTrip,2024-10-01,41-13-11,Fly at Unbeatable Prices!,MakeMyTrip offers 30% off on hotels this weekend!,4990
music_and_entertainment,Apple Music,2024-08-05,41-13-11,Music & Movies Galore!,Spotify Premium now just ₹1672/month!,1672
beauty_and_apparel,Zara,2024-05-14,41-13-11,Beauty Deals Inside!,Sephora - Get ₹735 off on skincare today!,735
music_and_entertainment,Spotify,2024-04-18,41-13-11,Your Entertainment Hub!,Netflix binge-watch special at ₹4449 per month!,4449
education,Khan Academy,2024-03-05,41-13-11,Exclusive Learning Discounts!,Coursera premium access at ₹1063 for a limited time!,1063
health_and_fitness,Anytime Fitness,2024-08-28,41-13-11,"Fitness Goals, Made Easy!",Nike Training Club - Personalized workout plans!,4769
food_spending,Domino's,2024-07-22,41-13-11,Delicious Deals Just for You!,Zomato is offering 20% off on your next order!,3654
savings_and_investments,Fidelity,2024-07-19,41-13-11,Grow Your Wealth!,Invest ₹1511 today and grow your wealth!,1511
chill_trill,Escape Room,2024-06-09,41-13-11,Unleash the Fun!,Disneyland - Exclusive family passes now available!,2732
chill_trill,Disneyland,2024-08-25,41-13-11,Exciting Adventures Await!,Six Flags is offering unlimited rides at ₹3069!,3069
savings_and_investments,Robinhood,2024-10-04,41-13-11,Smart Investing Starts Here!,Invest ₹2967 today and grow your wealth!,2967
food_spending,Domino's,2024-12-07,41-13-11,Tasty Treats Await!,Zomato is offering 20% off on your next order!,260
home_and_living,Target,2024-11-09,41-13-11,Upgrade Your Home!,Amazon - Flat ₹1782 off on furniture this week!,1782
travel,Booking.com,2024-08-07,41-13-11,Your Next Adventure Awaits!,MakeMyTrip offers 30% off on hotels this weekend!,3485
beauty_and_apparel,Adidas,2024-05-07,41-13-11,Style Upgrade Awaits!,H&M clearance sale - Shop trendy outfits now!,106
music_and_entertainment,Amazon Prime,2024-04-13,41-13-11,"Stream More, Pay Less!",Disney+ streaming pass - Get ₹4403 off now!,4403
beauty_and_apparel,Sephora,2024-06-11,41-13-11,Style Upgrade Awaits!,H&M clearance sale - Shop trendy outfits now!,4710
travel,Airbnb,2024-06-04,41-13-11,Fly at Unbeatable Prices!,Expedia - Book your flight now and save ₹2300!,2300
education,edX,2024-02-03,41-13-11,Boost Your Skills!,Coursera premium access at ₹2539 for a limited time!,2539
food_spending,Swiggy,2024-05-11,41-13-11,Order Now & Get Discounts!,McDonald's special deal - Get ₹4210 off on combos!,4210
travel,Airbnb,2024-06-06,41-13-11,Exclusive Travel Offers!,Expedia - Book your flight now and save ₹3023!,3023
travel,Expedia,2024-10-26,41-13-11,Fly at Unbeatable Prices!,Expedia - Book your flight now and save ₹1806!,1806
food_spending,Uber Eats,2024-10-14,41-13-11,Order Now & Get Discounts!,McDonald's special deal - Get ₹1287 off on combos!,1287
education,Skillshare,2024-07-11,41-13-11,Exclusive Learning Discounts!,Coursera premium access at ₹4408 for a limited time!,4408
food_spending,Swiggy,2024-05-31,41-13-11,Order Now & Get Discounts!,Your Swiggy order for ₹826 has been delivered!,826
health_and_fitness,Peloton,2024-05-18,41-13-11,"Stay Fit, Stay Healthy!",MyFitnessPal - Track your health & fitness effortlessly!,4455
beauty_and_apparel,Adidas,2024-04-21,41-13-11,Style Upgrade Awaits!,H&M clearance sale - Shop trendy outfits now!,1886
education,Udemy,2024-07-06,41-13-11,Boost Your Skills!,Skillshare - Learn new skills with exciting discounts!,2393
music_and_entertainment,Netflix,2024-12-02,41-13-11,Your Entertainment Hub!,Disney+ streaming pass - Get ₹3595 off now!,3595
savings_and_investments,Fidelity,2024-10-26,41-13-11,Grow Your Wealth!,Invest ₹97 today and grow your wealth!,97
beauty_and_apparel,Adidas,2024-04-06,41-13-11,Style Upgrade Awaits!,Zara exclusive sale - Fashion at unbeatable prices!,1271
music_and_entertainment,Amazon Prime,2024-04-07,41-13-11,"Stream More, Pay Less!",Netflix binge-watch special at ₹3252 per month!,3252
savings_and_investments,Betterment,2024-03-07,41-13-11,Smart Investing Starts Here!,Robinhood - Start investing with zero commission!,739
misc,Best Buy,2024-11-03,41-13-11,Shop the Best Deals!,Best Buy deals - Save big on electronics!,2847
education,Skillshare,2024-09-27,41-13-11,Exclusive Learning Discounts!,Coursera premium access at ₹794 for a limited time!,794
beauty_and_apparel,Sephora,2024-11-21,41-13-11,Fashion Trends You Need!,Zara exclusive sale - Fashion at unbeatable prices!,1270
chill_trill,VR World,2024-02-27,41-13-11,Experience Thrill!,Disneyland - Exclusive family passes now available!,2429
education,Udemy,2024-10-20,41-13-11,Enroll Now for Less!,Skillshare - Learn new skills with exciting discounts!,4278
food_spending,Uber Eats,2024-04-04,41-13-11,Tasty Treats Await!,Your Swiggy order for ₹1112 has been delivered!,1112
health_and_fitness,Nike Training Club,2024-06-14,41-13-11,Workout with the Best!,MyFitnessPal - Track your health & fitness effortlessly!,3922
home_and_living,Wayfair,2024-11-21,41-13-11,New Arrivals for Your Living Space!,Wayfair flash sale - Upgrade your home decor!,3332
music_and_entertainment,Netflix,2024-12-31,41-13-11,Your Entertainment Hub!,Netflix binge-watch special at ₹2939 per month!,2939
health_and_fitness,Nike Training Club,2024-04-02,41-13-11,"Stay Fit, Stay Healthy!",Peloton - Your fitness journey starts at ₹2945!,2945
music_and_entertainment,Apple Music,2024-11-04,41-13-11,Your Entertainment Hub!,Netflix binge-watch special at ₹3020 per month!,3020
food_spending,Uber Eats,2024-12-19,41-13-11,Tasty Treats Await!,McDonald's special deal - Get ₹2483 off on combos!,2483
chill_trill,Escape Room,2024-07-04,41-13-11,Experience Thrill!,Six Flags is offering unlimited rides at ₹1203!,1203
chill_trill,Escape Room,2024-03-30,41-13-11,Exciting Adventures Await!,Disneyland - Exclusive family passes now available!,1765
misc,Etsy,2024-08-22,41-13-11,Hidden Gems Just for You!,eBay - Exclusive gadgets at just ₹1913!,1913
food_spending,Uber Eats,2024-06-03,41-13-11,Tasty Treats Await!,Your Swiggy order for ₹3084 has been delivered!,3084
beauty_and_apparel,Sephora,2024-10-07,41-13-11,Style Upgrade Awaits!,H&M clearance sale - Shop trendy outfits now!,4365
chill_trill,Universal Studios,2024-09-24,41-13-11,Experience Thrill!,Six Flags is offering unlimited rides at ₹4424!,4424
chill_trill,VR World,2024-11-25,41-13-11,Experience Thrill!,Disneyland - Exclusive family passes now available!,3721
education,edX,2024-02-07,41-13-11,Exclusive Learning Discounts!,Skillshare - Learn new skills with exciting discounts!,427
misc,Newegg,2024-11-28,41-13-11,Shop the Best Deals!,eBay - Exclusive gadgets at just ₹4034!,4034
music_and_entertainment,Netflix,2024-06-30,41-13-11,Your Entertainment Hub!,Disney+ streaming pass - Get ₹3496 off now!,3496
savings_and_investments,Wealthfront,2024-03-22,41-13-11,Smart Investing Starts Here!,Vanguard offers higher returns on your savings!,2924
education,Khan Academy,2024-11-09,41-13-11,Exclusive Learning Discounts!,Coursera premium access at ₹4148 for a limited time!,4148
travel,MakeMyTrip,2024-11-12,41-13-11,Your Next Adventure Awaits!,MakeMyTrip offers 30% off on hotels this weekend!,993
education,edX,2024-03-06,41-13-11,Boost Your Skills!,Coursera premium access at ₹212 for a limited time!,212
music_and_entertainment,Amazon Prime,2024-06-28,41-13-11,Your Entertainment Hub!,Netflix binge-watch special at ₹4451 per month!,4451
home_and_living,IKEA,2024-09-12,41-13-11,New Arrivals for Your Living Space!,Target has new arrivals! Get the best home essentials!,2554
health_and_fitness,Peloton,2024-07-01,41-13-11,"Stay Fit, Stay Healthy!",Peloton - Your fitness journey starts at ₹4576!,4576
chill_trill,Disneyland,2025-01-01,41-13-11,Experience Thrill!,Disneyland - Exclusive family passes now available!,2145
home_and_living,Target,2024-10-09,41-13-11,Limited Time Home Deals!,Target has new arrivals! Get the best home essentials!,3468
misc,eBay,2024-01-18,41-13-11,Hidden Gems Just for You!,eBay - Exclusive gadgets at just ₹265!,265
beauty_and_apparel,Adidas,2024-07-13,41-13-11,Fashion Trends You Need!,Zara exclusive sale - Fashion at unbeatable prices!,2721
chill_trill,Six Flags,2024-10-09,41-13-11,Experience Thrill!,Disneyland - Exclusive family passes now available!,3018
food_spending,Zomato,2024-08-08,41-13-11,Tasty Treats Await!,Zomato is offering 20% off on your next order!,787
misc,Best Buy,2024-11-06,41-13-11,Unbelievable Finds!,eBay - Exclusive gadgets at just ₹2985!,2985
travel,Skyscanner,2024-03-17,41-13-11,Fly at Unbeatable Prices!,Expedia - Book your flight now and save ₹4713!,4713
misc,Etsy,2024-06-12,41-13-11,Hidden Gems Just for You!,eBay - Exclusive gadgets at just ₹2019!,2019
education,Udemy,2024-01-30,41-13-11,Exclusive Learning Discounts!,Skillshare - Learn new skills with exciting discounts!,761
travel,MakeMyTrip,2024-03-13,41-13-11,Exclusive Travel Offers!,MakeMyTrip offers 30% off on hotels this weekend!,1974
beauty_and_apparel,Nike,2024-12-10,41-13-11,Style Upgrade Awaits!,Sephora - Get ₹4450 off on skincare today!,4450
savings_and_investments,Betterment,2024-08-12,41-13-11,Maximize Your Returns!,Vanguard offers higher returns on your savings!,1669
travel,Skyscanner,2024-03-16,41-13-11,Fly at Unbeatable Prices!,Expedia - Book your flight now and save ₹3008!,3008
education,Skillshare,2024-04-09,41-13-11,Enroll Now for Less!,Coursera premium access at ₹3469 for a limited time!,3469
music_and_entertainment,Amazon Prime,2024-08-01,41-13-11,Music & Movies Galore!,Disney+ streaming pass - Get ₹2475 off now!,2475
health_and_fitness,MyFitnessPal,2024-12-29,41-13-11,"Fitness Goals, Made Easy!",Nike Training Club - Personalized workout plans!,3543
travel,Expedia,2024-07-27,41-13-11,Fly at Unbeatable Prices!,Airbnb special stays at just ₹3996 per night!,3996
chill_trill,Disneyland,2024-07-23,41-13-11,Experience Thrill!,Disneyland - Exclusive family passes now available!,4708
food_spending,McDonald's,2024-03-25,41-13-11,Tasty Treats Await!,Zomato is offering 20% off on your next order!,2241
music_and_entertainment,Spotify,2024-09-27,41-13-11,Your Entertainment Hub!,Spotify Premium now just ₹4713/month!,4713
education,Coursera,2024-09-12,41-13-11,Boost Your Skills!,Skillshare - Learn new skills with exciting discounts!,2563
beauty_and_apparel,Adidas,2024-07-02,41-13-11,Style Upgrade Awaits!,Sephora - Get ₹3210 off on skincare today!,3210
education,Skillshare,2024-04-05,41-13-11,Boost Your Skills!,Skillshare - Learn new skills with exciting discounts!,3610
food_spending,McDonald's,2024-03-17,41-13-11,Order Now & Get Discounts!,Zomato is offering 20% off on your next order!,4404
misc,Newegg,2024-12-07,41-13-11,Hidden Gems Just for You!,Etsy has unique handmade crafts for ₹1507!,1507
music_and_entertainment,Disney+,2024-09-07,41-13-11,Music & Movies Galore!,Spotify Premium now just ₹3639/month!,3639
health_and_fitness,MyFitnessPal,2024-03-18,41-13-11,"Stay Fit, Stay Healthy!",MyFitnessPal - Track your health & fitness effortlessly!,3222
travel,Skyscanner,2024-10-04,41-13-11,Fly at Unbeatable Prices!,MakeMyTrip offers 30% off on hotels this weekend!,3935
health_and_fitness,Peloton,2024-10-17,41-13-11,"Fitness Goals, Made Easy!",Peloton - Your fitness journey starts at ₹3857!,3857
health_and_fitness,Nike Training Club,2024-12-26,41-13-11,"Stay Fit, Stay Healthy!",MyFitnessPal - Track your health & fitness effortlessly!,270
savings_and_investments,Robinhood,2024-03-15,41-13-11,Maximize Your Returns!,Robinhood - Start investing with zero commission!,1083
misc,Etsy,2024-09-27,41-13-11,Shop the Best Deals!,Best Buy deals - Save big on electronics!,952
music_and_entertainment,Amazon Prime,2024-09-27,41-13-11,Music & Movies Galore!,Disney+ streaming pass - Get ₹493 off now!,493
music_and_entertainment,Netflix,2025-01-15,41-13-11,Music & Movies Galore!,Netflix binge-watch special at ₹2660 per month!,2660
beauty_and_apparel,Nike,2024-05-26,41-13-11,Beauty Deals Inside!,Zara exclusive sale - Fashion at unbeatable prices!,3845
chill_trill,VR World,2024-08-29,41-13-11,Unleash the Fun!,Escape Room challenge - Enter for just ₹4192!,4192
chill_trill,Six Flags,2024-03-04,41-13-11,Unleash the Fun!,Disneyland - Exclusive family passes now available!,2901
beauty_and_apparel,Adidas,2024-06-08,41-13-11,Style Upgrade Awaits!,Zara exclusive sale - Fashion at unbeatable prices!,1815
savings_and_investments,Betterment,2024-03-17,41-13-11,Smart Investing Starts Here!,Invest ₹4343 today and grow your wealth!,4343
travel,Booking.com,2024-08-08,41-13-11,Fly at Unbeatable Prices!,Expedia - Book your flight now and save ₹57!,57
food_spending,Uber Eats,2024-05-09,41-13-11,Order Now & Get Discounts!,Zomato is offering 20% off on your next order!,2793
home_and_living,Target,2024-03-19,41-13-11,New Arrivals for Your Living Space!,Target has new arrivals! Get the best home essentials!,580
home_and_living,Wayfair,2024-02-28,41-13-11,Upgrade Your Home!,Amazon - Flat ₹3099 off on furniture this week!,3099
beauty_and_apparel,Nike,2024-06-24,41-13-11,Style Upgrade Awaits!,Sephora - Get ₹1503 off on skincare today!,1503
food_spending,Zomato,2024-06-30,41-13-11,Tasty Treats Await!,McDonald's special deal - Get ₹2419 off on combos!,2419
savings_and_investments,Betterment,2024-12-27,41-13-11,Smart Investing Starts Here!,Robinhood - Start investing with zero commission!,2734
education,Coursera,2024-07-13,41-13-11,Enroll Now for Less!,Coursera premium access at ₹3169 for a limited time!,3169
health_and_fitness,Peloton,2024-03-18,41-13-11,"Fitness Goals, Made Easy!",MyFitnessPal - Track your health & fitness effortlessly!,1280
home_and_living,Wayfair,2024-03-21,41-13-11,Limited Time Home Deals!,Target has new arrivals! Get the best home essentials!,843
misc,Newegg,2024-07-19,41-13-11,Hidden Gems Just for You!,Best Buy deals - Save big on electronics!,4797
misc,Newegg,2024-03-05,41-13-11,Hidden Gems Just for You!,eBay - Exclusive gadgets at just ₹2207!,2207
chill_trill,Universal Studios,2024-05-01,41-13-11,Exciting Adventures Await!,Six Flags is offering unlimited rides at ₹4507!,4507
travel,Booking.com,2024-02-20,41-13-11,Your Next Adventure Awaits!,Expedia - Book your flight now and save ₹1062!,1062
travel,Airbnb,2025-01-14,41-13-11,Your Next Adventure Awaits!,MakeMyTrip offers 30% off on hotels this weekend!,2908
misc,Newegg,2024-08-15,41-13-11,Hidden Gems Just for You!,Etsy has unique handmade crafts for ₹3893!,3893
health_and_fitness,Anytime Fitness,2024-07-02,41-13-11,"Stay Fit, Stay Healthy!",Nike Training Club - Personalized workout plans!,1945
food_spending,Zomato,2024-10-23,41-13-11,Tasty Treats Await!,Zomato is offering 20% off on your next order!,902
chill_trill,Escape Room,2024-12-19,41-13-11,Exciting Adventures Await!,Six Flags is offering unlimited rides at ₹4546!,4546
health_and_fitness,Peloton,2024-10-25,41-13-11,"Stay Fit, Stay Healthy!",Nike Training Club - Personalized workout plans!,380
home_and_living,Amazon,2024-10-28,41-13-11,Limited Time Home Deals!,Wayfair flash sale - Upgrade your home decor!,2105
home_and_living,Wayfair,2024-03-25,41-13-11,Limited Time Home Deals!,Wayfair flash sale - Upgrade your home decor!,1249
health_and_fitness,Nike Training Club,2024-08-12,41-13-11,Workout with the Best!,Nike Training Club - Personalized workout plans!,4693
home_and_living,Amazon,2024-06-25,41-13-11,New Arrivals for Your Living Space!,Target has new arrivals! Get the best home essentials!,2105
savings_and_investments,Vanguard,2024-09-29,41-13-11,Smart Investing Starts Here!,Invest ₹3287 today and grow your wealth!,3287
misc,Newegg,2024-05-07,41-13-11,Hidden Gems Just for You!,Best Buy deals - Save big on electronics!,3782
beauty_and_apparel,Sephora,2025-01-15,41-13-11,Beauty Deals Inside!,Zara exclusive sale - Fashion at unbeatable prices!,703
education,Coursera,2024-11-26,41-13-11,Enroll Now for Less!,Coursera premium access at ₹4296 for a limited time!,4296
home_and_living,Wayfair,2024-03-16,41-13-11,Limited Time Home Deals!,Wayfair flash sale - Upgrade your home decor!,703
home_and_living,Amazon,2024-03-26,41-13-11,New Arrivals for Your Living Space!,Wayfair flash sale - Upgrade your home decor!,4655
food_spending,Uber Eats,2025-01-01,41-13-11,Order Now & Get Discounts!,McDonald's special deal - Get ₹2549 off on combos!,2549
travel,Skyscanner,2024-06-02,41-13-11,Exclusive Travel Offers!,MakeMyTrip offers 30% off on hotels this weekend!,906
home_and_living,Wayfair,2024-05-20,41-13-11,Upgrade Your Home!,Amazon - Flat ₹4797 off on furniture this week!,4797
home_and_living,Amazon,2024-12-16,41-13-11,Limited Time Home Deals!,Amazon - Flat ₹63 off on furniture this week!,63
food_spending,Uber Eats,2024-07-23,41-13-11,Order Now & Get Discounts!,Zomato is offering 20% off on your next order!,3508
education,Udemy,2024-10-07,41-13-11,Boost Your Skills!,Coursera premium access at ₹4449 for a limited time!,4449
home_and_living,Amazon,2024-08-15,41-13-11,Upgrade Your Home!,Target has new arrivals! Get the best home essentials!,2803
food_spending,Zomato,2024-06-25,41-13-11,Delicious Deals Just for You!,Your Swiggy order for ₹2800 has been delivered!,2800
